#ArcNumber	Type
5274       	FUSE
5492       	FUSE
5230       	FUSE
5214       	FUSE
5147       	FUSE
5494       	FUSE
5407       	FUSE
5427       	FUSE
5561       	RECLOSER
5412       	FUSE
5105       	FUSE
5060       	FUSE
5240       	FUSE
5059       	FUSE
5326       	FUSE
5015       	FUSE
5013       	FUSE
5082       	FUSE
5530       	FUSE
5297       	FUSE
5120       	FUSE
5016       	FUSE
5470       	FUSE
5064       	FUSE
5512       	FUSE
5038       	FUSE
5276       	FUSE
5238       	FUSE
5456       	FUSE
5108       	FUSE
5043       	FUSE
5271       	FUSE
5046       	FUSE
5049       	FUSE
5359       	FUSE
5058       	FUSE
5052       	FUSE
5208       	FUSE
5262       	FUSE
5509       	FUSE
5050       	FUSE
5098       	FUSE
5041       	FUSE
5039       	FUSE
5035       	FUSE
5032       	FUSE
5197       	FUSE
5320       	FUSE
5029       	FUSE
5542       	FUSE
5018       	FUSE
5053       	FUSE
5021       	FUSE
5026       	FUSE
5028       	FUSE
5296       	FUSE
5295       	FUSE
5261       	FUSE
5510       	FUSE
5024       	FUSE
5525       	FUSE
5518       	FUSE
5054       	FUSE
5056       	FUSE
5267       	FUSE
5063       	FUSE
5167       	FUSE
5325       	FUSE
5070       	FUSE
5377       	FUSE
5386       	FUSE
5508       	FUSE
5072       	FUSE
5100       	FUSE
5505       	FUSE
5067       	FUSE
5516       	FUSE
5318       	FUSE
5061       	FUSE
5418       	FUSE
5074       	FUSE
5560       	RECLOSER
5501       	FUSE
5543       	FUSE
5544       	FUSE
5546       	FUSE
5549       	FUSE
5552       	FUSE
5514       	FUSE
5523       	FUSE
5524       	FUSE
5121       	FUSE
5179       	FUSE
5096       	FUSE
5168       	FUSE
5115       	FUSE
5045       	FUSE
5112       	FUSE
5206       	FUSE
5243       	FUSE
5260       	FUSE
5304       	FUSE
5308       	FUSE
5283       	FUSE
5537       	FUSE
5329       	FUSE
5538       	FUSE
5057       	FUSE
5048       	FUSE
5539       	FUSE
5242       	FUSE
5357       	FUSE
5290       	FUSE
5291       	FUSE
5234       	FUSE
5241       	FUSE
5535       	FUSE
5534       	FUSE
5532       	FUSE
5527       	FUSE
5180       	FUSE
5529       	FUSE
5374       	FUSE
5528       	FUSE
5190       	FUSE
5188       	FUSE
5203       	FUSE
5185       	FUSE
5184       	FUSE
5183       	FUSE
5181       	FUSE
5382       	FUSE
5231       	FUSE
5155       	FUSE
5193       	FUSE
5158       	FUSE
5199       	FUSE
5087       	FUSE
5160       	FUSE
5469       	FUSE
5177       	FUSE
5173       	FUSE
5161       	FUSE
5170       	FUSE
5521       	FUSE
5519       	FUSE
4997       	FUSE
4992       	FUSE
5515       	FUSE
5503       	FUSE
5085       	FUSE
5020       	FUSE
5006       	FUSE
5009       	FUSE
5011       	FUSE
5010       	FUSE
5298       	FUSE
5553       	FUSE
5461       	FUSE
4994       	FUSE
4996       	FUSE
5191       	FUSE
5342       	FUSE
5081       	FUSE
5000       	FUSE
5216       	FUSE
5001       	FUSE
5169       	FUSE
5078       	FUSE
5004       	FUSE
5002       	FUSE
5073       	FUSE
5346       	FUSE
4999       	FUSE
5558       	FUSE
5556       	FUSE
5487       	FUSE
5200       	FUSE
5555       	FUSE
5066       	FUSE
5164       	FUSE
5541       	FUSE
5497       	FUSE
5495       	FUSE
5486       	FUSE
5484       	FUSE
5483       	FUSE
5062       	FUSE
5449       	FUSE
5440       	FUSE
5489       	FUSE
5488       	FUSE
5355       	FUSE
5490       	FUSE
5163       	FUSE
5289       	FUSE
5287       	FUSE
5107       	FUSE
5292       	FUSE
5379       	FUSE
5375       	FUSE
5338       	FUSE
5441       	FUSE
5443       	FUSE
5445       	FUSE
5481       	FUSE
5306       	FUSE
5482       	FUSE
5479       	FUSE
5391       	FUSE
5141       	FUSE
5005       	FUSE
5270       	FUSE
5123       	FUSE
5012       	FUSE
5536       	FUSE
5366       	FUSE
5424       	FUSE
5511       	FUSE
5480       	FUSE
5425       	FUSE
5065       	FUSE
5069       	FUSE
5352       	FUSE
5474       	FUSE
5019       	FUSE
5504       	FUSE
5502       	FUSE
5500       	FUSE
5491       	FUSE
5324       	FUSE
5498       	FUSE
5499       	FUSE
5367       	FUSE
5210       	FUSE
5368       	FUSE
5442       	FUSE
5437       	FUSE
5563       	RECLOSER
5434       	FUSE
5429       	FUSE
5426       	FUSE
5327       	FUSE
5422       	FUSE
5253       	FUSE
5156       	FUSE
5259       	FUSE
5323       	FUSE
5314       	FUSE
5220       	FUSE
5428       	FUSE
5430       	FUSE
5431       	FUSE
5432       	FUSE
5433       	FUSE
5438       	FUSE
5343       	FUSE
5278       	FUSE
5439       	FUSE
5404       	FUSE
5419       	FUSE
5467       	FUSE
5444       	FUSE
5187       	FUSE
5378       	FUSE
5447       	FUSE
5477       	FUSE
5448       	FUSE
5450       	FUSE
5468       	FUSE
5462       	FUSE
5476       	FUSE
5397       	FUSE
5472       	FUSE
5506       	FUSE
5118       	FUSE
5451       	FUSE
5037       	FUSE
5336       	FUSE
5023       	FUSE
5464       	FUSE
5547       	FUSE
5460       	FUSE
5466       	FUSE
5376       	FUSE
5459       	FUSE
5457       	FUSE
5522       	FUSE
5455       	FUSE
5517       	FUSE
5453       	FUSE
5454       	FUSE
5446       	FUSE
5398       	FUSE
5068       	FUSE
5372       	FUSE
5371       	FUSE
5370       	FUSE
5465       	FUSE
5471       	FUSE
5389       	FUSE
5562       	RECLOSER
5109       	FUSE
5392       	FUSE
5299       	FUSE
5363       	FUSE
5396       	FUSE
5554       	FUSE
5403       	FUSE
5410       	FUSE
5411       	FUSE
5408       	FUSE
5406       	FUSE
5405       	FUSE
4993       	FUSE
5402       	FUSE
5401       	FUSE
5344       	FUSE
5415       	FUSE
5399       	FUSE
5550       	FUSE
5282       	FUSE
5281       	FUSE
5279       	FUSE
5381       	FUSE
5373       	FUSE
5395       	FUSE
5421       	FUSE
5420       	FUSE
5390       	FUSE
5417       	FUSE
5531       	FUSE
5007       	FUSE
5416       	FUSE
4998       	FUSE
5452       	FUSE
5209       	FUSE
5248       	FUSE
5473       	FUSE
5202       	FUSE
5227       	FUSE
5540       	FUSE
5275       	FUSE
5413       	FUSE
5337       	FUSE
5301       	FUSE
5387       	FUSE
5360       	FUSE
5384       	FUSE
5385       	FUSE
5092       	FUSE
5154       	FUSE
5257       	FUSE
5152       	FUSE
5088       	FUSE
5150       	FUSE
5294       	FUSE
5131       	FUSE
5559       	RECLOSER
5093       	FUSE
5307       	FUSE
5102       	FUSE
5175       	FUSE
5104       	FUSE
5286       	FUSE
5526       	FUSE
5117       	FUSE
5122       	FUSE
5125       	FUSE
5564       	SECTIONALIZER
5130       	FUSE
5293       	FUSE
5280       	FUSE
5119       	FUSE
5124       	FUSE
5127       	FUSE
5143       	FUSE
5369       	FUSE
5176       	FUSE
5265       	FUSE
5142       	FUSE
5335       	FUSE
5129       	FUSE
5031       	FUSE
5388       	FUSE
5139       	FUSE
5140       	FUSE
5225       	FUSE
5223       	FUSE
5222       	FUSE
5094       	FUSE
5182       	FUSE
5042       	FUSE
5126       	FUSE
5040       	FUSE
5036       	FUSE
5350       	FUSE
5033       	FUSE
5132       	FUSE
5213       	FUSE
5249       	FUSE
5089       	FUSE
5135       	FUSE
5194       	FUSE
5136       	FUSE
5134       	FUSE
5128       	FUSE
5162       	FUSE
5114       	FUSE
5113       	FUSE
5110       	FUSE
5106       	FUSE
5077       	FUSE
5226       	FUSE
5101       	FUSE
5097       	FUSE
5095       	FUSE
5148       	FUSE
5145       	FUSE
5146       	FUSE
5478       	FUSE
5264       	FUSE
5090       	FUSE
