#ArcNumber	Type
1684       	FUSE
1959       	FUSE
1803       	FUSE
1672       	FUSE
945       	FUSE
1203       	FUSE
1378       	FUSE
117       	FUSE
1650       	FUSE
24       	RECLOSER
1591       	FUSE
1584       	FUSE
1562       	FUSE
601       	FUSE
919       	FUSE
1543       	FUSE
584       	FUSE
502       	FUSE
1452       	FUSE
595       	FUSE
741       	FUSE
856       	FUSE
2203       	FUSE
1351       	FUSE
1954       	FUSE
2037       	FUSE
349       	FUSE
947       	FUSE
698       	FUSE
401       	FUSE
1460       	FUSE
1496       	FUSE
1495       	FUSE
536       	FUSE
215       	FUSE
1905       	FUSE
1469       	FUSE
43       	FUSE
480       	FUSE
1484       	FUSE
499       	FUSE
1502       	FUSE
1506       	FUSE
1515       	FUSE
1419       	FUSE
1560       	FUSE
577       	FUSE
1598       	FUSE
1601       	FUSE
1449       	FUSE
1110       	FUSE
2369       	RECLOSER
696       	FUSE
717       	FUSE
603       	FUSE
1781       	FUSE
1158       	FUSE
510       	FUSE
2124       	FUSE
318       	FUSE
935       	FUSE
187       	FUSE
326       	FUSE
160       	FUSE
59       	FUSE
2190       	FUSE
1713       	FUSE
1799       	FUSE
21       	RECLOSER
994       	FUSE
993       	FUSE
973       	FUSE
949       	FUSE
1521       	FUSE
924       	FUSE
404       	FUSE
920       	FUSE
892       	FUSE
881       	FUSE
2099       	FUSE
1395       	FUSE
1804       	FUSE
886       	FUSE
905       	FUSE
921       	FUSE
183       	FUSE
412       	FUSE
389       	FUSE
8       	SECTIONALIZER
366       	FUSE
612       	FUSE
1814       	FUSE
1338       	FUSE
1822       	FUSE
629       	FUSE
351       	FUSE
249       	FUSE
1842       	FUSE
2283       	FUSE
844       	FUSE
840       	FUSE
824       	FUSE
818       	FUSE
791       	FUSE
784       	FUSE
774       	FUSE
753       	FUSE
718       	FUSE
329       	FUSE
731       	FUSE
795       	FUSE
320       	FUSE
2306       	FUSE
701       	FUSE
695       	FUSE
694       	FUSE
688       	FUSE
657       	FUSE
655       	FUSE
646       	FUSE
648       	FUSE
693       	FUSE
715       	FUSE
995       	FUSE
851       	FUSE
213       	FUSE
537       	FUSE
252       	FUSE
