7096	7119
13.2
    1	    0.0000	    0.0000	  0	 176049.1200	 519949.2500
    2	    8.0000	    4.2307	 12	 179185.1000	 532183.4200
    3	    0.0000	    0.0000	  0	 179220.4600	 532182.7400
    4	    0.0000	    0.0000	  0	 175130.7300	 534657.3900
    5	    0.0000	    0.0000	  0	 174761.6900	 534347.9500
    6	    0.0000	    0.0000	  0	 174414.7500	 534053.6300
    7	    0.0000	    0.0000	  0	 174282.2600	 533933.9600
    8	    0.0000	    0.0000	  0	 174055.7400	 533790.7800
    9	    0.0000	    0.0000	  0	 183906.8700	 509943.8700
   10	    0.0000	    0.0000	  1	 184413.5900	 508041.4400
   11	    0.0000	    0.0000	  0	 178566.2800	 534557.3700
   12	    0.0000	    0.0000	  0	 196566.5100	 533957.6200
   13	    0.0000	    0.0000	  0	 179833.6100	 524560.8200
   14	   11.0000	    9.9088	  1	 179826.8100	 524487.5600
   15	    0.0000	    0.0000	  0	 173728.5900	 522498.1300
   16	    0.0000	    0.0000	  0	 173668.9000	 522399.4600
   17	    0.0000	    0.0000	  0	 173490.6700	 522099.4300
   18	    3.0000	    1.5865	  2	 167436.5400	 540408.1500
   19	    0.0000	    0.0000	  0	 173270.9000	 516006.2600
   20	    0.0000	    0.0000	  1	 180954.2600	 504579.3900
   21	    0.0000	    0.0000	  0	 177570.4900	 534274.3500
   22	    1.0000	    0.5288	  4	 188122.0300	 521161.2700
   23	    0.0000	    0.0000	  0	 175682.8900	 496149.9200
   24	    0.0000	    0.0000	  0	 175671.7000	 496180.3500
   25	    0.0000	    0.0000	  0	 175654.7800	 496226.3700
   26	    0.0000	    0.0000	  0	 175921.4600	 514302.5900
   27	    0.0000	    0.0000	  0	 183938.4900	 498759.8400
   28	    2.0000	    1.8016	  1	 183995.3900	 498776.1500
   29	    0.0000	    0.0000	  0	 173327.0800	 522010.2500
   30	    0.0000	    0.0000	  0	 173308.9600	 522012.2000
   31	    0.0000	    0.0000	  0	 184279.0100	 511198.8000
   32	    0.0000	    0.0000	  0	 184352.7200	 511116.7600
   33	    0.0000	    0.0000	  0	 184486.3700	 510968.0200
   34	    0.0000	    0.0000	  0	 184699.1000	 510731.2600
